2021 BMW X5,0,60000
2018 TESLA MODEL 3,322,35490
2016 PORSCHE PANAMERA,0,85000
2019 NISSAN LEAF,150,29990
2015 FORD FUSION,0,22000
2020 TESLA MODEL Y,326,49990
2021 BMW X3,0,45000
2015 NISSAN LEAF,84,29990
2017 TESLA MODEL S,335,74990
2017 CHEVROLET BOLT EV,238,36900
2019 TESLA MODEL 3,322,35490
2024 TOYOTA RAV4 PRIME,42,39990
2024 VOLVO XC90,0,75000
2020 TESLA MODEL 3,322,35490
2024 JEEP WRANGLER,0,35000
2015 TESLA MODEL S,270,74990
2016 AUDI A3,0,33000
2016 VOLKSWAGEN E-GOLF,125,31000
2022 FORD F-150,0,30000
2020 KIA NIRO,239,39500
2023 TESLA MODEL Y,326,49990
2024 VOLVO XC60,0,45000
2018 TESLA MODEL X,348,84990
2016 BMW X5,0,60000
2021 VOLVO XC90,0,75000
2015 BMW I3,153,45000
2023 RIVIAN R1S,316,73900
2018 TESLA MODEL S,335,74990
2025 BMW X5,0,70000
2021 BMW 330E,22,44900
2021 TOYOTA RAV4 PRIME,42,39990
2022 JEEP WRANGLER,0,35000
2020 BMW I3,153,45000
2017 FORD FOCUS,0,21000
2021 MINI HARDTOP,0,25000
2017 TESLA MODEL X,348,84990
2017 TOYOTA PRIUS PRIME,25,28000
2016 NISSAN LEAF,107,29990
2023 TESLA MODEL 3,322,35490
2023 KIA SORENTO,0,32000
2016 TESLA MODEL S,335,74990
2017 NISSAN LEAF,107,29990
2013 NISSAN LEAF,75,29990
2023 MINI COUNTRYMAN,0,35000
2023 KIA NIRO,239,39500
2018 NISSAN LEAF,150,29990
2019 AUDI E-TRON,222,74900
2023 KIA EV6,310,40000
2022 VOLVO XC90,0,75000
2020 TESLA MODEL X,348,84990
2018 BMW X5,0,60000
2024 LEXUS RZ,0,55000
2025 NISSAN LEAF,0,29990
2020 HYUNDAI IONIQ,170,32000
2024 MAZDA CX-90,0,42000
2020 CHEVROLET BOLT EV,259,37000
2011 NISSAN LEAF,73,29990
2020 VOLVO XC60,0,45000
2019 KIA NIRO,239,39500
2022 BMW X5,0,60000
2020 NISSAN LEAF,150,29990
2024 KIA NIRO,239,39500
2018 HONDA CLARITY,89,33000
2012 NISSAN LEAF,73,29990
2019 TESLA MODEL S,335,74990
2019 VOLKSWAGEN E-GOLF,125,31000
2014 CHEVROLET VOLT,53,34000
2022 KIA EV6,310,40000
2018 AUDI A3,0,33000
2019 MERCEDES-BENZ GLC-CLASS,0,46000
2024 GENESIS GV60,0,65000
2014 NISSAN LEAF,84,29990
2016 SMART FORTWO,68,24000
2024 AUDI Q5 E,0,60000
2017 CHEVROLET VOLT,53,34000
2023 FORD MUSTANG MACH-E,305,42995
2012 CHEVROLET VOLT,53,34000
2023 JEEP WRANGLER,0,35000
2016 VOLVO XC90,0,75000
2016 FIAT 500,84,25000
2014 BMW I3,137,45000
2022 BMW IX,324,83000
2016 FORD C-MAX,0,24000
2023 BMW X5,0,70000
2019 BMW I3,153,45000
2025 KIA SPORTAGE,0,35000
2023 FORD ESCAPE,0,27000
2024 TESLA MODEL 3,322,35490
2018 CHEVROLET VOLT,53,34000
2024 FORD ESCAPE,0,27000
2020 AUDI Q5 E,0,60000
2022 BMW I4,301,55000
2022 TESLA MODEL 3,322,35490
2024 VOLVO XC40,0,42000
2021 TESLA MODEL Y,326,49990
2022 KIA SORENTO,0,32000
2024 NISSAN ARIYA,300,47000
2024 TESLA MODEL Y,326,49990
2016 FORD FUSION,0,22000
2022 TESLA MODEL Y,326,49990
2023 VOLKSWAGEN ID.4,250,43000
2023 MERCEDES-BENZ EQE-CLASS SUV,0,70000
2023 HYUNDAI IONIQ 5,303,43000
2021 HONDA CLARITY,89,33000
2022 AUDI E-TRON,222,74900
2018 HYUNDAI IONIQ,170,32000
2023 TESLA MODEL S,335,74990
2022 VOLVO XC60,0,45000
2021 TESLA MODEL 3,322,35490
2023 BMW 330E,22,44900
2023 SUBARU SOLTERRA,228,42000
2021 VOLKSWAGEN ID.4,250,43000
2022 NISSAN LEAF,150,29990
2022 CHRYSLER PACIFICA,0,35000
2023 MITSUBISHI OUTLANDER,0,35000
2025 BMW IX,0,83000
2021 CHEVROLET BOLT EV,259,37000
2023 CHEVROLET BOLT EV,259,37000
2024 KIA EV9,0,60000
2022 TESLA MODEL X,348,84990
2023 CHEVROLET BOLT EUV,247,38000
2017 FIAT 500,68,24000
2024 HYUNDAI IONIQ 6,300,42000
2023 CHRYSLER PACIFICA,0,35000
2025 RIVIAN R1S,316,73900
2022 AUDI Q4,0,55000
2023 TOYOTA RAV4 PRIME,42,39990
2024 BMW I4,0,55000
2024 TOYOTA PRIUS PRIME,25,28000
2016 TESLA MODEL X,348,84990
2022 PORSCHE TAYCAN,246,90000
2024 JEEP GRAND CHEROKEE,0,55000
2017 FORD FUSION,0,22000
2022 TESLA MODEL S,335,74990
2022 POLESTAR PS2,300,60000
2024 HONDA PROLOGUE,0,35000
2023 HYUNDAI SANTA FE,0,32000
2019 CHEVROLET BOLT EV,259,37000
2023 TESLA MODEL X,348,84990
2023 VOLVO XC40,0,42000
2022 HYUNDAI SANTA FE,0,32000
2022 HYUNDAI KONA ELECTRIC,258,35000
2024 FORD MUSTANG MACH-E,305,42995
2019 VOLVO XC90,0,75000
2023 LAND ROVER RANGE ROVER SPORT,0,90000
2017 BMW X5,0,60000
2023 RIVIAN R1T,316,73900
2016 MERCEDES-BENZ B-CLASS,68,24000
2023 BMW IX,0,83000
2022 VOLVO XC40,0,42000
2011 TH!NK CITY,50,32000
2021 FORD MUSTANG MACH-E,305,42995
2021 BMW I3,153,45000
2024 KIA EV6,300,40000
2023 PORSCHE CAYENNE,0,80000
2022 TOYOTA RAV4 PRIME,42,39990
2019 KIA Niro,239,39500
2018 TESLA MODEL 3,322,35490
2024 KIA NIRO,239,39500
2020 TESLA MODEL S,335,74990
2020 JEEP WRANGLER,0,35000
2015 TESLA MODEL S,270,74990
2023 FORD MUSTANG MACH-E,305,42995
2017 FORD FOCUS,0,21000
2019 VOLKSWAGEN ID.4,250,43000
2023 KIA EV6,300,40000
2017 AUDI Q3,0,50000
2016 KIA SOUL,0,30000
2024 FORD ESCAPE,0,27000
2020 HONDA INSIGHT,55,22000
2023 KIA NIRO EV,239,39500
2020 HONDA CLARITY,89,33000
2020 FORD FUSION,0,22000
2023 BMW I7,300,120000
2022 TESLA MODEL Y,326,49990
2024 FORD F-150,0,30000
2022 BMW IX3,0,70000
2023 RIVIAN R1T,316,73900
2019 HONDA CLARITY,89,33000
2022 JAGUAR I-PACE,234,70000
2024 CHEVROLET BOLT EUV,247,38000
2022 RIVIAN R1S,316,73900
2023 KIA EV6,300,40000
2021 RIVIAN R1T,316,73900
2021 CHEVROLET BOLT EV,259,37000
2024 LEXUS RZ,0,55000
2024 FORD F-150,0,30000
2022 BMW X3,0,45000
2024 FORD ESCAPE,0,27000
2022 HONDA CIVIC,0,25000
2021 CHEVROLET BOLT EUV,247,38000
2024 JEEP WRANGLER,0,35000
2024 HONDA PROLOGUE,0,35000
2022 VOLKSWAGEN ID.4,250,43000
2021 HONDA ACCORD,0,27000
2022 BMW X4,0,45000
2022 CHEVROLET BOLT EV,259,37000
2023 KIA NIRO EV,239,39500
2022 NISSAN ARIYA,300,47000
2022 HONDA CR-V,0,27000
2022 RIVIAN R1S,316,73900
2023 CHEVROLET BOLT EUV,247,38000
